Number,"Customer name",Date,"po number","due date",terms,"public notes","private notes",description,product_id,unit_price,unit_discount,unit_tax,quantity,shipping_cost,tax_rate,"custom value1","custom value2","custom value3","custom value4",exchange_rate
0027,"Michael Hampton",2021-04-23,,"2021-04-30 00:00:00","invoice terms",public,,"import product",,19.99,2,17.5,1,0,0,,,,,1
0028,"Michael Hampton",2021-04-29,,"2021-05-27 00:00:00","invoice terms",public,,"import product",,19.99,2,17.5,1,0,0,,,,,1
0029,"Michael Hampton",2021-05-02,,"2021-05-03 00:00:00","invoice terms",public,,"import product",,19.99,2,17.5,1,0,0,,,,,1
0030,"Michael Hampton",2021-05-02,,"2021-05-03 00:00:00","invoice terms",public,,"import product",,19.99,2,17.5,1,0,0,,,,,1
0031,"Michael Hampton",2021-05-02,,"2021-05-03 00:00:00","invoice terms",public,,"import product",,19.99,2,17.5,1,0,0,,,,,1
0032,"Michael Hampton",2021-05-02,,"2021-05-03 00:00:00","invoice terms",public,,"import product",,19.99,2,17.5,1,0,0,,,,,1
0033,"Michael Hampton",2021-05-04,,"2021-05-27 00:00:00","invoice terms",public,,"import product",,19.99,2,17.5,1,0,0,,,,,1
0034,"Michael Hampton",2021-05-08,,"2021-05-31 00:00:00","invoice terms",public,,"import product",,19.99,2,17.5,1,0,0,,,,,1
0035,"Michael Hampton",2021-05-09,,"2021-05-10 00:00:00","invoice terms",public,,"import product",,19.99,2,17.5,1,0,0,,,,,1
0036,"Michael Hampton",2021-05-09,,"2021-05-10 00:00:00","invoice terms",public,,"import product",,19.99,2,17.5,1,0,0,,,,,1
0037,"Michael Hampton",2021-05-31,,"2021-05-31 00:00:00","invoice terms",public,,"import product",,19.99,2,17.5,1,0,0,,,,,1
0037,"Michael Hampton",2021-05-31,,"2021-05-31 00:00:00","invoice terms",public,,"PaymentGateway Fee",,1.5,0,0,1,0,0,,,,,1
0038,"Michael Hampton",2021-05-11,,"2021-05-31 00:00:00","invoice terms",public,,"import product",,19.99,2,17.5,1,0,0,,,,,1
5585670898508,"Mrs. Heather Tromp III",2021-05-14,,"2021-05-17 00:00:00","Aperiam voluptas ut nesciunt consequatur eum eum debitis. Illo ut voluptatem provident ea est et. Labore blanditiis provident eos voluptates. Provident tempora dolores ut aut optio. Quos consequatur occaecati vel explicabo nesciunt. Sed impedit velit praesentium adipisci nesciunt hic. Magni inventore in deserunt cumque vero. Eos sunt magnam quo nesciunt quia. Nam dignissimos placeat molestiae impedit laborum quas reiciendis aut. Quam veniam sunt dolore commodi.",,,,,160,0,0,1,0,0,,,,,1
5585670898508,"Mrs. Heather Tromp III",2021-05-14,,"2021-05-17 00:00:00","Aperiam voluptas ut nesciunt consequatur eum eum debitis. Illo ut voluptatem provident ea est et. Labore blanditiis provident eos voluptates. Provident tempora dolores ut aut optio. Quos consequatur occaecati vel explicabo nesciunt. Sed impedit velit praesentium adipisci nesciunt hic. Magni inventore in deserunt cumque vero. Eos sunt magnam quo nesciunt quia. Nam dignissimos placeat molestiae impedit laborum quas reiciendis aut. Quam veniam sunt dolore commodi.",,,,,160,0,0,1,0,0,,,,,1
5585670898508,"Mrs. Heather Tromp III",2021-05-14,,"2021-05-17 00:00:00","Aperiam voluptas ut nesciunt consequatur eum eum debitis. Illo ut voluptatem provident ea est et. Labore blanditiis provident eos voluptates. Provident tempora dolores ut aut optio. Quos consequatur occaecati vel explicabo nesciunt. Sed impedit velit praesentium adipisci nesciunt hic. Magni inventore in deserunt cumque vero. Eos sunt magnam quo nesciunt quia. Nam dignissimos placeat molestiae impedit laborum quas reiciendis aut. Quam veniam sunt dolore commodi.",,,,,160,0,0,1,0,0,,,,,1
5585670898508,"Mrs. Heather Tromp III",2021-05-14,,"2021-05-17 00:00:00","Aperiam voluptas ut nesciunt consequatur eum eum debitis. Illo ut voluptatem provident ea est et. Labore blanditiis provident eos voluptates. Provident tempora dolores ut aut optio. Quos consequatur occaecati vel explicabo nesciunt. Sed impedit velit praesentium adipisci nesciunt hic. Magni inventore in deserunt cumque vero. Eos sunt magnam quo nesciunt quia. Nam dignissimos placeat molestiae impedit laborum quas reiciendis aut. Quam veniam sunt dolore commodi.",,,,,160,0,0,1,0,0,,,,,1
5585670898508,"Mrs. Heather Tromp III",2021-05-14,,"2021-05-17 00:00:00","Aperiam voluptas ut nesciunt consequatur eum eum debitis. Illo ut voluptatem provident ea est et. Labore blanditiis provident eos voluptates. Provident tempora dolores ut aut optio. Quos consequatur occaecati vel explicabo nesciunt. Sed impedit velit praesentium adipisci nesciunt hic. Magni inventore in deserunt cumque vero. Eos sunt magnam quo nesciunt quia. Nam dignissimos placeat molestiae impedit laborum quas reiciendis aut. Quam veniam sunt dolore commodi.",,,,,160,0,0,1,0,0,,,,,1
