Number,"Customer name",Date,"po number","due date",terms,"public notes","private notes",description,product_id,unit_price,unit_discount,unit_tax,quantity,shipping_cost,tax_rate,"custom value1","custom value2","custom value3","custom value4",exchange_rate
0027,"Michael Hampton",2021-04-23,,"2021-04-30 00:00:00","invoice terms",public,,"import product",,19.99,2,17.5,1,0,0,,,,,1
0028,"Michael Hampton",2021-04-29,,"2021-05-27 00:00:00","invoice terms",public,,"import product",,19.99,2,17.5,1,0,0,,,,,1
0029,"Michael Hampton",2021-05-02,,"2021-05-03 00:00:00","invoice terms",public,,"import product",,19.99,2,17.5,1,0,0,,,,,1
0030,"Michael Hampton",2021-05-02,,"2021-05-03 00:00:00","invoice terms",public,,"import product",,19.99,2,17.5,1,0,0,,,,,1
0031,"Michael Hampton",2021-05-02,,"2021-05-03 00:00:00","invoice terms",public,,"import product",,19.99,2,17.5,1,0,0,,,,,1
0032,"Michael Hampton",2021-05-02,,"2021-05-03 00:00:00","invoice terms",public,,"import product",,19.99,2,17.5,1,0,0,,,,,1
0033,"Michael Hampton",2021-05-04,,"2021-05-27 00:00:00","invoice terms",public,,"import product",,19.99,2,17.5,1,0,0,,,,,1
0034,"Michael Hampton",2021-05-08,,"2021-05-31 00:00:00","invoice terms",public,,"import product",,19.99,2,17.5,1,0,0,,,,,1
0035,"Michael Hampton",2021-05-09,,"2021-05-10 00:00:00","invoice terms",public,,"import product",,19.99,2,17.5,1,0,0,,,,,1
0036,"Michael Hampton",2021-05-09,,"2021-05-10 00:00:00","invoice terms",public,,"import product",,19.99,2,17.5,1,0,0,,,,,1
0037,"Michael Hampton",2021-05-31,,"2021-05-31 00:00:00","invoice terms",public,,"import product",,19.99,2,17.5,1,0,0,,,,,1
0037,"Michael Hampton",2021-05-31,,"2021-05-31 00:00:00","invoice terms",public,,"PaymentGateway Fee",,1.5,0,0,1,0,0,,,,,1
0038,"Michael Hampton",2021-05-11,,"2021-05-31 00:00:00","invoice terms",public,,"import product",,19.99,2,17.5,1,0,0,,,,,1
8362627130976,"Mr. Justen Hermann",2021-05-14,,"2021-05-17 00:00:00","Earum officia voluptatum ex quia qui enim. Id id error occaecati eos molestiae. Aut delectus quia est maiores dolores vero officiis voluptate. Vel ipsum vero fugit in recusandae. Dolorum enim quibusdam quod nobis quae deleniti quia optio. Assumenda sit ut temporibus aut consequatur rerum nulla autem. Esse molestiae voluptates sunt nam quos adipisci magnam.",,,,,160,0,0,1,0,0,,,,,1
8362627130976,"Mr. Justen Hermann",2021-05-14,,"2021-05-17 00:00:00","Earum officia voluptatum ex quia qui enim. Id id error occaecati eos molestiae. Aut delectus quia est maiores dolores vero officiis voluptate. Vel ipsum vero fugit in recusandae. Dolorum enim quibusdam quod nobis quae deleniti quia optio. Assumenda sit ut temporibus aut consequatur rerum nulla autem. Esse molestiae voluptates sunt nam quos adipisci magnam.",,,,,160,0,0,1,0,0,,,,,1
8362627130976,"Mr. Justen Hermann",2021-05-14,,"2021-05-17 00:00:00","Earum officia voluptatum ex quia qui enim. Id id error occaecati eos molestiae. Aut delectus quia est maiores dolores vero officiis voluptate. Vel ipsum vero fugit in recusandae. Dolorum enim quibusdam quod nobis quae deleniti quia optio. Assumenda sit ut temporibus aut consequatur rerum nulla autem. Esse molestiae voluptates sunt nam quos adipisci magnam.",,,,,160,0,0,1,0,0,,,,,1
8362627130976,"Mr. Justen Hermann",2021-05-14,,"2021-05-17 00:00:00","Earum officia voluptatum ex quia qui enim. Id id error occaecati eos molestiae. Aut delectus quia est maiores dolores vero officiis voluptate. Vel ipsum vero fugit in recusandae. Dolorum enim quibusdam quod nobis quae deleniti quia optio. Assumenda sit ut temporibus aut consequatur rerum nulla autem. Esse molestiae voluptates sunt nam quos adipisci magnam.",,,,,160,0,0,1,0,0,,,,,1
8362627130976,"Mr. Justen Hermann",2021-05-14,,"2021-05-17 00:00:00","Earum officia voluptatum ex quia qui enim. Id id error occaecati eos molestiae. Aut delectus quia est maiores dolores vero officiis voluptate. Vel ipsum vero fugit in recusandae. Dolorum enim quibusdam quod nobis quae deleniti quia optio. Assumenda sit ut temporibus aut consequatur rerum nulla autem. Esse molestiae voluptates sunt nam quos adipisci magnam.",,,,,160,0,0,1,0,0,,,,,1
2278320612229,"Wilford Sporer",2021-05-14,,"2021-05-17 00:00:00","Voluptas autem beatae possimus aut. Eum accusamus facilis qui rerum nostrum quis. Accusantium qui natus eligendi rem qui corrupti non nostrum. Hic ducimus iure aut alias illum assumenda debitis. Tenetur quia cumque eligendi est fuga consequatur amet. Praesentium ad ut quas repellat. Eveniet ea laborum sint rerum quae maiores. Dolor in aliquam nulla sint velit. Eaque architecto id aut aliquam optio nobis eligendi numquam. Molestiae quis cupiditate sapiente odio distinctio molestiae laboriosam.",,,,,160,0,0,1,0,0,,,,,1
2278320612229,"Wilford Sporer",2021-05-14,,"2021-05-17 00:00:00","Voluptas autem beatae possimus aut. Eum accusamus facilis qui rerum nostrum quis. Accusantium qui natus eligendi rem qui corrupti non nostrum. Hic ducimus iure aut alias illum assumenda debitis. Tenetur quia cumque eligendi est fuga consequatur amet. Praesentium ad ut quas repellat. Eveniet ea laborum sint rerum quae maiores. Dolor in aliquam nulla sint velit. Eaque architecto id aut aliquam optio nobis eligendi numquam. Molestiae quis cupiditate sapiente odio distinctio molestiae laboriosam.",,,,,160,0,0,1,0,0,,,,,1
2278320612229,"Wilford Sporer",2021-05-14,,"2021-05-17 00:00:00","Voluptas autem beatae possimus aut. Eum accusamus facilis qui rerum nostrum quis. Accusantium qui natus eligendi rem qui corrupti non nostrum. Hic ducimus iure aut alias illum assumenda debitis. Tenetur quia cumque eligendi est fuga consequatur amet. Praesentium ad ut quas repellat. Eveniet ea laborum sint rerum quae maiores. Dolor in aliquam nulla sint velit. Eaque architecto id aut aliquam optio nobis eligendi numquam. Molestiae quis cupiditate sapiente odio distinctio molestiae laboriosam.",,,,,160,0,0,1,0,0,,,,,1
2278320612229,"Wilford Sporer",2021-05-14,,"2021-05-17 00:00:00","Voluptas autem beatae possimus aut. Eum accusamus facilis qui rerum nostrum quis. Accusantium qui natus eligendi rem qui corrupti non nostrum. Hic ducimus iure aut alias illum assumenda debitis. Tenetur quia cumque eligendi est fuga consequatur amet. Praesentium ad ut quas repellat. Eveniet ea laborum sint rerum quae maiores. Dolor in aliquam nulla sint velit. Eaque architecto id aut aliquam optio nobis eligendi numquam. Molestiae quis cupiditate sapiente odio distinctio molestiae laboriosam.",,,,,160,0,0,1,0,0,,,,,1
2278320612229,"Wilford Sporer",2021-05-14,,"2021-05-17 00:00:00","Voluptas autem beatae possimus aut. Eum accusamus facilis qui rerum nostrum quis. Accusantium qui natus eligendi rem qui corrupti non nostrum. Hic ducimus iure aut alias illum assumenda debitis. Tenetur quia cumque eligendi est fuga consequatur amet. Praesentium ad ut quas repellat. Eveniet ea laborum sint rerum quae maiores. Dolor in aliquam nulla sint velit. Eaque architecto id aut aliquam optio nobis eligendi numquam. Molestiae quis cupiditate sapiente odio distinctio molestiae laboriosam.",,,,,160,0,0,1,0,0,,,,,1
