Number,"Customer name",Date,"po number","due date",terms,"public notes","private notes",description,product_id,unit_price,unit_discount,unit_tax,quantity,shipping_cost,tax_rate,"custom value1","custom value2","custom value3","custom value4",exchange_rate,"Amount Paid","Payments Made"
0754690278408,"Kyle Jacobi",2021-05-24,,"2021-05-27 00:00:00","Placeat architecto id consequuntur aut tenetur. Eaque sunt expedita est sunt doloribus et unde. Illum velit necessitatibus ut magnam. Commodi et iure praesentium enim nihil aliquid dolor. Perferendis debitis et ipsa molestias distinctio qui. In ut at non ut. Sint a et repellendus dolorum earum vel. Tenetur quo quam quod eveniet accusamus assumenda culpa. Atque quibusdam amet reiciendis non.",,,,,160,0,0,1,0,0,,,,,1,,
6801652640439,"Jayne Christiansen",2021-05-24,,"2021-05-27 00:00:00","Eum dolorum quia aut. Sit odio modi minima sit. Ut voluptatum voluptatem quis repellendus dolorem. Velit officia eius deleniti aspernatur. Nihil velit porro harum. Voluptas nesciunt consequatur consequatur dolores ea. Consequuntur dolorum modi autem qui. Vel consequatur dolorum dignissimos nihil odio minima architecto. Dolorem maxime magni dolores itaque non ut. Amet eum esse cumque. Temporibus corrupti aliquam est officiis sunt.",,,,,160,0,0,1,0,0,,,,,1,,
0054,"Michael Hampton",2021-05-24,,"2021-05-25 00:00:00","invoice terms",provate,,"Omnis voluptate dolores quae. Et voluptatibus aliquam et rerum.",,11,2,17.500,1,0,0,,,,,1,,
0053,"Michael Hampton",2021-05-24,,"2021-05-25 00:00:00","invoice terms",provate,,"Omnis voluptate dolores quae. Et voluptatibus aliquam et rerum.",,11,2,17.500,1,0,0,,,,,1,,
0052,"Michael Hampton",2021-05-24,,"2021-05-25 00:00:00","invoice terms",provate,,"Omnis voluptate dolores quae. Et voluptatibus aliquam et rerum.",,11,2,17.500,1,0,0,,,,,1,,
0051,"Michael Hampton",2021-05-24,,"2021-05-25 00:00:00","invoice terms",provate,,"Omnis voluptate dolores quae. Et voluptatibus aliquam et rerum.",,11,2,17.500,1,0,0,,,,,1,,
0050,"Michael Hampton",2021-05-24,,"2021-05-25 00:00:00","invoice terms",provate,,"Omnis voluptate dolores quae. Et voluptatibus aliquam et rerum.",,11,2,17.500,1,0,0,,,,,1,,
0049,"Michael Hampton",2021-05-24,,"2021-05-25 00:00:00","invoice terms",provate,,"Omnis voluptate dolores quae. Et voluptatibus aliquam et rerum.",,11,2,17.500,1,0,0,,,,,1,,
0048,"Michael Hampton",2021-05-24,,"2021-05-25 00:00:00","invoice terms",provate,,"Omnis voluptate dolores quae. Et voluptatibus aliquam et rerum.",,11,2,17.500,1,0,0,,,,,1,,
0047,"Michael Hampton",2021-05-24,,"2021-05-25 00:00:00","invoice terms",provate,,"Omnis voluptate dolores quae. Et voluptatibus aliquam et rerum.",,11,2,17.500,1,0,0,,,,,1,,
0046,"Michael Hampton",2021-05-24,,"2021-05-25 00:00:00","invoice terms",provate,,"Omnis voluptate dolores quae. Et voluptatibus aliquam et rerum.",,11,2,17.500,1,0,0,,,,,1,,
0045,"Michael Hampton",2021-05-24,,"2021-05-25 00:00:00","invoice terms",provate,,"Omnis voluptate dolores quae. Et voluptatibus aliquam et rerum.",,11,2,17.500,1,0,0,,,,,1,,
0044,"Michael Hampton",2021-05-24,,"2021-05-25 00:00:00","invoice terms",provate,,"Omnis voluptate dolores quae. Et voluptatibus aliquam et rerum.",,11,2,17.500,1,0,0,,,,,1,,
0043,"Michael Hampton",2021-05-24,,"2021-05-25 00:00:00","invoice terms",provate,,"Omnis voluptate dolores quae. Et voluptatibus aliquam et rerum.",,11,2,17.500,1,0,0,,,,,1,,
0042,"Michael Hampton",2021-05-24,,"2021-05-25 00:00:00","invoice terms",provate,,"Omnis voluptate dolores quae. Et voluptatibus aliquam et rerum.",,11,2,17.500,1,0,0,,,,,1,,
0041,"Michael Hampton",2021-05-24,,"2021-05-25 00:00:00","invoice terms",provate,,"Omnis voluptate dolores quae. Et voluptatibus aliquam et rerum.",,11,2,17.500,1,0,0,,,,,1,,
0040,"Michael Hampton",2021-05-24,,"2021-05-25 00:00:00","invoice terms",provate,,"Omnis voluptate dolores quae. Et voluptatibus aliquam et rerum.",,11,2,17.500,1,0,0,,,,,1,,
0039,"Michael Hampton",2021-05-24,,"2021-05-25 00:00:00","invoice terms",provate,,"Omnis voluptate dolores quae. Et voluptatibus aliquam et rerum.",,11,2,17.500,1,0,0,,,,,1,,
5348368109535,"Dr. Shania Hansen V",2021-05-24,,"2021-05-27 00:00:00","Dolor ut provident explicabo maxime eos sed nobis. Omnis unde odio et dolorem. Non et earum quis laborum. Consequuntur et rerum occaecati occaecati voluptatum. Nulla vel repudiandae vel consectetur voluptas. Et est quos suscipit soluta qui delectus. Sint provident omnis et sequi voluptate. Voluptas maiores ut eum est sunt. Ut saepe nostrum voluptatem distinctio. Iste dolorem vitae porro excepturi sed. Consequatur sed consequatur inventore quidem.",,,,,160,0,5,1,0,0,,,,,1,,
6841302660578,"Mustafa Witting MD",2021-05-24,,"2021-05-27 00:00:00","Ipsa ipsa vitae et eaque sequi. Dolorem ratione laborum ex. Tempore aut pariatur sed accusamus dolores aperiam. In voluptatum error ut iusto commodi. Maxime nihil ut blanditiis autem occaecati. Est debitis omnis rerum molestiae quidem. Molestias laudantium laudantium repellendus consequatur. Odit culpa autem rerum laboriosam modi. Consequatur voluptatem dolor consequatur eum tenetur. Perspiciatis magnam ut omnis atque molestiae.",,,,,160,0,5,1,0,0,,,,,1,,
5789438882383,"Willie Stiedemann",2021-05-24,,"2021-05-27 00:00:00","Minus nisi consequatur nam nam omnis voluptatem quam illum. Aut et cum eum maxime dolor. Consequuntur sed culpa nihil quis. Labore nulla recusandae dignissimos nihil. Dicta magni sed qui sed. Temporibus occaecati est delectus et ipsa et iure. Voluptates rerum atque et inventore. Ipsam excepturi fugit sapiente. Sed sunt quae aut facilis pariatur omnis et. Quaerat aspernatur deleniti pariatur rerum. Dolores illo et ut sit a tempore quia.",,,,,160,0,5,1,0,0,,,,,1,,
