Number,"Customer name",Date,"po number","due date",terms,"public notes","private notes",description,product_id,unit_price,unit_discount,unit_tax,quantity,shipping_cost,tax_rate,"custom value1","custom value2","custom value3","custom value4",exchange_rate
0027,"Michael Hampton",2021-04-23,,"2021-04-30 00:00:00","invoice terms",public,,"import product",,19.99,2,17.5,1,0,0,,,,,1
0028,"Michael Hampton",2021-04-29,,"2021-05-27 00:00:00","invoice terms",public,,"import product",,19.99,2,17.5,1,0,0,,,,,1
0029,"Michael Hampton",2021-05-02,,"2021-05-03 00:00:00","invoice terms",public,,"import product",,19.99,2,17.5,1,0,0,,,,,1
0030,"Michael Hampton",2021-05-02,,"2021-05-03 00:00:00","invoice terms",public,,"import product",,19.99,2,17.5,1,0,0,,,,,1
0031,"Michael Hampton",2021-05-02,,"2021-05-03 00:00:00","invoice terms",public,,"import product",,19.99,2,17.5,1,0,0,,,,,1
0032,"Michael Hampton",2021-05-02,,"2021-05-03 00:00:00","invoice terms",public,,"import product",,19.99,2,17.5,1,0,0,,,,,1
0033,"Michael Hampton",2021-05-04,,"2021-05-27 00:00:00","invoice terms",public,,"import product",,19.99,2,17.5,1,0,0,,,,,1
0034,"Michael Hampton",2021-05-08,,"2021-05-31 00:00:00","invoice terms",public,,"import product",,19.99,2,17.5,1,0,0,,,,,1
0035,"Michael Hampton",2021-05-09,,"2021-05-10 00:00:00","invoice terms",public,,"import product",,19.99,2,17.5,1,0,0,,,,,1
0036,"Michael Hampton",2021-05-09,,"2021-05-10 00:00:00","invoice terms",public,,"import product",,19.99,2,17.5,1,0,0,,,,,1
0037,"Michael Hampton",2021-05-31,,"2021-05-31 00:00:00","invoice terms",public,,"import product",,19.99,2,17.5,1,0,0,,,,,1
0037,"Michael Hampton",2021-05-31,,"2021-05-31 00:00:00","invoice terms",public,,"PaymentGateway Fee",,1.5,0,0,1,0,0,,,,,1
0038,"Michael Hampton",2021-05-11,,"2021-05-31 00:00:00","invoice terms",public,,"import product",,19.99,2,17.5,1,0,0,,,,,1
9409383788139,"Yasmin Ruecker",2021-05-14,,"2021-05-17 00:00:00","Ut totam blanditiis molestiae in dolorem quisquam cupiditate. Voluptate occaecati voluptas officia a. Et magnam reiciendis id eos. Laudantium quia fugit harum quae sit. Reiciendis blanditiis nostrum sed reiciendis et facilis doloribus. Laboriosam est rerum aut quia. Ipsa commodi doloribus iusto nihil rerum. Qui aliquid quia molestiae perspiciatis praesentium fuga autem. Explicabo vel accusantium in expedita aliquam voluptas quaerat. Illo in reprehenderit itaque odio optio distinctio est et.",,,,,160,0,0,1,0,0,,,,,1
9409383788139,"Yasmin Ruecker",2021-05-14,,"2021-05-17 00:00:00","Ut totam blanditiis molestiae in dolorem quisquam cupiditate. Voluptate occaecati voluptas officia a. Et magnam reiciendis id eos. Laudantium quia fugit harum quae sit. Reiciendis blanditiis nostrum sed reiciendis et facilis doloribus. Laboriosam est rerum aut quia. Ipsa commodi doloribus iusto nihil rerum. Qui aliquid quia molestiae perspiciatis praesentium fuga autem. Explicabo vel accusantium in expedita aliquam voluptas quaerat. Illo in reprehenderit itaque odio optio distinctio est et.",,,,,160,0,0,1,0,0,,,,,1
9409383788139,"Yasmin Ruecker",2021-05-14,,"2021-05-17 00:00:00","Ut totam blanditiis molestiae in dolorem quisquam cupiditate. Voluptate occaecati voluptas officia a. Et magnam reiciendis id eos. Laudantium quia fugit harum quae sit. Reiciendis blanditiis nostrum sed reiciendis et facilis doloribus. Laboriosam est rerum aut quia. Ipsa commodi doloribus iusto nihil rerum. Qui aliquid quia molestiae perspiciatis praesentium fuga autem. Explicabo vel accusantium in expedita aliquam voluptas quaerat. Illo in reprehenderit itaque odio optio distinctio est et.",,,,,160,0,0,1,0,0,,,,,1
9409383788139,"Yasmin Ruecker",2021-05-14,,"2021-05-17 00:00:00","Ut totam blanditiis molestiae in dolorem quisquam cupiditate. Voluptate occaecati voluptas officia a. Et magnam reiciendis id eos. Laudantium quia fugit harum quae sit. Reiciendis blanditiis nostrum sed reiciendis et facilis doloribus. Laboriosam est rerum aut quia. Ipsa commodi doloribus iusto nihil rerum. Qui aliquid quia molestiae perspiciatis praesentium fuga autem. Explicabo vel accusantium in expedita aliquam voluptas quaerat. Illo in reprehenderit itaque odio optio distinctio est et.",,,,,160,0,0,1,0,0,,,,,1
9409383788139,"Yasmin Ruecker",2021-05-14,,"2021-05-17 00:00:00","Ut totam blanditiis molestiae in dolorem quisquam cupiditate. Voluptate occaecati voluptas officia a. Et magnam reiciendis id eos. Laudantium quia fugit harum quae sit. Reiciendis blanditiis nostrum sed reiciendis et facilis doloribus. Laboriosam est rerum aut quia. Ipsa commodi doloribus iusto nihil rerum. Qui aliquid quia molestiae perspiciatis praesentium fuga autem. Explicabo vel accusantium in expedita aliquam voluptas quaerat. Illo in reprehenderit itaque odio optio distinctio est et.",,,,,160,0,0,1,0,0,,,,,1
